follow her advice	彼女の助言に従う
study animal behavior	動物の行動を研究する
lack of food	食糧不足
learn basic skills	基本的な技術を学ふ?
the sound quality of the CD	CDの音質
the natural environment	自然環境
play an important role	重要な役割を果たす
a friendly attitude toward Japanese	日本人に対する友好的な態度
the author of the best seller	ヘ?ストセラーの著者
scientific research	科学的な研究
an opportunity to talk to her	彼女と話す機会
a source of information	情報源
heart disease	心臓病
the shape of her nose	彼女の鼻の形
the advantage of being tall	背か?高いという利点
a method of teaching English	英語を教える方法
form the habit of getting up early	早起きの習慣か?つく
remember details of the story	話を細部まて?覚えている
make a long-distance call	長距離電話をかける
gather a large crowd	大群衆を集める
Change your clothes.	服を着替えなさい
the best known instance	最もよく知られた例
a strong desire to be a singer	歌手になりたいという強い願望
the standard of living	生活水準
high technology	高度な科学技術(ハイテク)
the leader of the next generation	次世代の指導者
take responsibility for the accident	事故の責任をとる
a difficult task	難しい仕事
experiments with animals	動物を用いる実験
evidence of life on Mars	火星に生物か?いるという証拠
only a decade ago	ほんの10年前に
"a loss of $5,000"	5000ト?ルの損失
unique aspects of Japanese culture	日本文化のユニークな側面
the theory of relativity	相対性理論
read the following statement	次の記述を読む
a professor at Boston University	ホ?ストン大学の教授
the basic functions of a computer	コンヒ?ュータの基本的機能
the surface of the earth	地球の表面
the main factors in his success	彼の成功の主な要因
an international organization	国際的な組織
Japan's foreign policy	日本の外交政策
natural resources	天然資源
the contrast between light and shadow	光と影の対比
brain death	脳死
attract customers to the store	店に客を引きつける
buying and selling goods	商品の売り買い
a creature from space	宇宙から来た生き物
changes in social structure	社会構造の変化
history and tradition	歴史と伝統
lose weight	体重を減らす
do hard labor	重労働を行う
the average U.S. citizen	平均的アメリカ市民
make a deep impression on me	私に深い印象を与える
many species of birds	多くの種の鳥
a long career as an actress	女優としての長い経歴
the concept of time	時間の概念
train passengers	列車の乗客
commit a crime	罪を犯す
low-income families	低所得の家族
the average temperature in Paris	ハ?リの平均気温
the majority of students	大多数の学生
the origin of language	言語の起源
study English literature	英文学を研究する
a plane with high-tech equipment	ハイテク装備の飛行機
talk to a stranger	見知らぬ人に話しかける
strength and weakness	強さと弱さ
the planet Earth	地球という惑星
Circumstances have changed.	状況か?変わった
science and religion	科学と宗教
environmental pollution	環境汚染
wealth and power	富と権力
Western civilization	西洋文明
make a $2 million profit	200万ト?ルのもうけを得る
the technique of film-making	映画作りの技術
express emotions	感情を表現する
a natural phenomenon	自然現象
die of skin cancer	皮膚カ?ンて?死ぬ
the bottom of the sea	海の底
6 billion people	六十億の人々
the social status of women	女性の社会的地位
modern youth	現代の若者
have confidence in my ability	自分の能力に自信か?ある
the edge of the Pacific Ocean	太平洋の周辺
household goods	家庭用品
a great scholar	偉大な学者
according to a new survey	新しい調査によると
"a vocabulary of 5,000 words"	5000語の語彙
a natural enemy	天敵
a bridge under construction	建設中の橋
the lecture on history	歴史に関する講義
follow his instructions	彼の指示に従う
get over the economic crisis	経済危機を乗り越える
a medical instrument	医療器具
grow various crops	さまさ?まな作物を育てる
a laser weapon	レーサ?ー兵器
an electronic device	電子装置
the path to victory	勝利への道
an earthquake of magnitude 8	マク?ニチュート?8の地震
a clear mountain stream	きれいな山の小川
the notion of freedom	自由の概念
a dangerous substance	危険な物質
victims of the war	戦争の犠牲者
fill the fuel tank	燃料タンクを満たす
the ancestors of modern humans	今の人類の祖先
the rich soil of the Nile River	ナイル川の豊かな土壌
a debate on education	教育についての討論
violence on TV	テレヒ?の暴力
my friends and colleagues	私の友人と同僚
his philosophy of life	彼の人生哲学
an international conference	国際会議
stars in the universe	宇宙の星
a machine run by electricity	電気で動く機械
social insects like ants	アリのような社会性昆虫
a terrible natural disaster	恐ろしい自然災害
a heavy storm	激しい嵐
have plenty of time	十分な時間か?ある
the campaign to plant one million trees	100万本の樹を植える運動
the gene for eye color	目の色を決める遺伝子
tobacco advertising	たは?この広告
carbon dioxicide	二酸化炭素
the mother-infant relationship	母親と幼児の関係
human evolution	人類の進化
destroy cancer cells	カ?ン細胞を破壊する
world affairs	世界情勢
a necessary consequence	必然的結果(=result)
have musical talent	音楽の才能か?ある
a common language	共通の言語
No Smoking in Public Places.	公共の場て?は禁煙
He is likely to win.	彼か?勝つ可能性か?高い
serious social problems	深刻な社会問題
a particular character	特有の性質
information available to everyone	みんなに利用て?きる情報
a local television station	地方のテレヒ?局
I am ready to start.	私は出発の用意か?て?きている
the correct answer	正しい答え
be familiar with Japanese culture	日本の文化にくわしい
physical beauty	肉体美
The book is worth reading.	その本は読む価値か?ある
be involved in the problem	その問題にかかわっている
All men are created equal.	全ての人は平等に作られている。
her private life	彼女の私生活
an obvious mistake	明白な間違い
a native language	母国語
a complex society	複雑な社会
I am willing to help her.	喜んて?彼女を助けるつもりた?
the current international situation	今日の国際状況
male workers	男性の労働者
the proper use of words	言葉の適切な使い方
He is capable of doing the job.	彼はその仕事をする能力か?ある
He is independent of his parents.	彼は親から独立している。
positive thinking	積極的な考え方
a pleasant experience	楽しい経験
a significant difference	重要な違い
the former President	前大統領
a chemical change	化学変化
be upset by the accident	事故て?動揺している
from the previous year	前の年から
global warming	地球の温暖化
a specific individual	特定の個人
health-conscious Americans	健康を意識するアメリカの人々
be superior to others	他の人よりすく?れている
an efficient use of energy	効率のよいエネルキ?ーの使い方
the fundamental human rights	基本的人権
a narrow street	狭い道
a reasonable explanation	理にかなった説明
feel nervous about the future	将来のことて?不安になる
The brothers look alike.	その兄弟は似ている
America's domestic problems	アメリカの国内問題
a negative answer	否定的な答
make a moral judgement	道徳的な判断をする
be eager to study in the U.S.	アメリカ留学を熱望する
I have a dog and a cat. The latter is bigger.	犬と猫を飼っているか?、後者の方か?大きい
drive away evil spirits	悪い霊を追い払う
stay awake all night	夜通し目か?覚めている
the prime cause	主要な原因
I am anxious about your health.	君の健康か?心配た?
walk on thin ice	薄い氷の上を歩く
nuclear energy	原子力エネルキ?ー
the British legal system	イキ?リスの法律の制度
be curious about everything	何にて?も好奇心を持つ
Always keep calm.	つねに冷静て?いなさい
a tough boxer	たくましいホ?クサー
his aged parents	彼の年老いた父母
civil rights	公民権
"He looks happy, but actually he is sad."	彼はうれしそうた?か?実は悲しいのた?
nearly 30 years ago	30年近く前に
The car is small and therefore cheap.	その車は小さい。それゆえ、安い
at exactly the same time	ひ?ったり同時に
He may possibly come.	ひょっとすると彼は来るかもしれない
contrary to expectations	予想に反して
I occasionally go to the theater.	私はたまに芝居を見に行く
Somehow I feet lonely.	なせ?かさひ?しい
I seldom see him.	彼に会うことはめったにない
eat lunch beneath a tree	木の下て?弁当を食へ?る
a general opinion	一般的な意見
various kinds of flowers	さまさ?まな種類の花
be similar to each other	お互いに似ている
a complete failure	完全な失敗
recent news	最近のニュース
very expensive wine	非常に高価なワイン
a political leader	政治的な指導者
be aware of the danger	危険に気つ?いている
ancient Greece and Rome	古代のキ?リシャとローマ
a medical study	医学の研究
Water is essential to life.	水は生命に不可欠た?。
a huge city	巨大な都市
a terrible accident	ひと?い事故
practical English	実用的な英語
the entire world	全世界
her favorite film	彼女か?いちは?ん好きな映画
enjoy a comfortable life	快適な生活を楽しむ
lead an active life	活動的な生活をする
a typical American family	典型的なアメリカの家族
an ideal body shape	理想的な体型
the vast land of Russia	ロシアの広大な土地
the most appropriate title	最も適切な題名
an empty bottle	からっほ?のヒ?ン
rapid economic growth	急速な経済成長
a mental illness	精神の病
an excellent idea	すは?らしいアイテ?ア
a convenient place to park	駐車するのに便利な場所
potential danger	潜在的な危険
financial support from the U.S.	アメリカからの財政的援助
an enormous amount of damage	莫大な額の損害
a rare stamp	珍しい切手
a complicated puzzle	複雑なハ?ス?ル
a tiny kitten	ちっちゃな子猫
a considerable distance	かなりの距離
Her skin is sensitive to sunlight.	彼女の肌は日光に敏感た?
high intellectual ability	高度な知的能力
in a broad sense	はは?広い意味て?は
be polite to ladies	女性に対して礼儀正しい
accurate information	正確な情報
a sharp rise in prices	物価の急激な上昇
rude behavior	失礼な振る舞い
pay sufficient attention	十分な注意を払う
urban life	都会の暮らし
widespread use of drugs	広まっているト?ラック?の使用
a primitive society	原始的な社会
permanent teeth	永久歯
the care of elderly people	高齢者のケア
severe winter weather	厳しい冬の天候
a brief explanation	簡潔な説明
without the slightest doubt	少しの疑いもなく
the latest news from China	中国からの最新のニュース
military aid to Israel	イスラエルへの軍事的援助
strict rules	厳しい規則
a solid state	固体の状態
say stupid things	馬鹿なことをいう
biological weapons	生物兵器
Probably he won't come.	おそらく彼は来ないた?ろう
I hardly know Bill	ヒ?ルのことはほとんと?知らない
start work immediately	たた?ちに仕事にかかる
eventually find the answer	ついに答を見つける
a frequently used word	しは?しは?使われる言葉
an extremely difficult problem	非常に難しい問題
gradually become colder	た?んた?ん冷たくなる
It is merely bad luck.	単に運か?悪かったた?けた?
He is rich; nevertheless he is unhappy.	彼は金持ちた?か?、それにもかかわらす?、不幸た?
"He's kind; moreover, he's strong."	彼は親切て?、その上強い
relatively few people	比較的少数の人々
an apparently simple question	一見簡単な問題
It's absolutely impossible	絶対に不可能た?
largely because of the problem	主にその問題のせいて?
The class is mostly Japanese.	クラスの大部分は日本人た?
somewhat better than last year	去年より多少良い
not necessarily true	必す?しも本当て?ない
He lost despite his efforts.	努力にもかかわらす?彼は負けた
proceed straight ahead	まっすく?前に進む
ensure your success	君の成功を確実にする
interpret the word in two ways	言葉を二通りに解釈する
The Soviet Union ceased to exist.	ソ連は存在しなくなった
spoil the party	ハ?ーティを台無しにする
obey the law	法に従う
Can we eliminate cancer?	カ?ンをなくすことはて?きるか
resist pressure from the US	アメリカの圧力に抵抗する
celebrate his birthday	彼の誕生日を祝う
weigh 65 kilograms	65キロの重さか?ある
pursue the American Dream	アメリカント?リームを追い求める
demonstrate the truth	事実を証する
amuse students with jokes	冗談て?学生を笑わせる
ruin his life	彼の人生を破滅させる
regret leaving home	家を出たのを後悔する
a bookcase attached to the wall	壁に取り付けられた本た?な
reverse the position	立場を逆転する
restrict freedom of speech	言論の自由を制限する
a team composed of nine members	9人て?構成されるチーム
capture wild animals	野性動物を捕える
substitute margarine for butter	マーカ?リンをハ?ターの代わりに用いる
He was transfered to Osaka.	彼は大阪に転勤した
interrupt their conversation	彼らの会話をし?ゃまする
confront a difficult problem	困難な問題に立ち向かう
This example illustrates his ability.	この例か?彼の能力を示す
arrest him for speeding	スヒ?ート?違反て?彼を逮捕する
stimulate the imagination	想像力を刺激する
assure you that you will win	君か?勝つことを保証する
consult a doctor for advice	医者に相談して助言を求める
feel too depressed to go out	憂鬱て?出かける気か?しない
crash into the wall	壁に激突する
inspire him to write a poem	彼に詩を書く気を起こさせる
specialize in Chinese history	中国史を専攻する
cultivate friendships	友情を育てる
fulfill the promise	約束を果たす
transmit messages	メッセーシ?を伝える
found a computer company	コンヒ?ュータ会社を設立する
cheer up the patients	患者たちを元気つ?ける
burst into tears	急に泣き出す
bow to the queen	女王様におし?き?する
dismiss the idea as nonesense	その考えをは?からしいと無視する
how to breed animals	動物を繁殖させる方法
prohibit children from smoking	子供か?タハ?コを吸うのを禁し?る
be obliged to pay taxes	税金を払わさ?るをえない
qualify for the position	その地位に適任て?ある
invest money in a business	ヒ?シ?ネスにお金を投資する
grasp what he is saying	彼の言うことを理解する
The Soviet Union collapsed.	ソヒ?エト連邦か?崩壊した
overlook the fact	事実を見逃す
accuse him of being cold	彼を冷たいと非難する
be frustrated by the lack of money	金か?なくて欲求不満になる
deprive him of the chance	彼からチャンスを奪う
an astonishing memory	驚異的な記憶力
register a new car	新車を登録する
The fact corresponds to my theory.	その事実は私の理論と一致する
cast a shadow on the wall	壁に影を投け?る
attribute the success to luck	成功は幸運のせいた?と思う
ban smoking in public places	公共の場の喫煙を禁止する
starve to death	飢え死にする
resolve the problem	問題を解決する
be confined to a small room	小さな部屋に閉し?込められる
exhibit Picasso's works	ヒ?カソの作品を展示する
convert sunlight into electricity	太陽の光を電気に転換する
The noise scares him.	その音か?彼をおひ?えさせる
Cars constitute 10% of the exports.	車か?輸出の10%を占める
be appointed to an important post	重要なホ?ストに任命される
sew a wedding dress	ウエテ?ィンク?ト?レスをぬう
assign work to each member	各メンハ?ーに仕事を割り当てる
"nod and say ""yes"""	うなす?いて「はい」と言う
be elected President	大統領に選は?れる
acknowledge the fact	事実を認める
"rob the bank of $50,000"	銀行から5万ト?ル奪う
lean against the wall	壁にもたれる
undertake the work	仕事を引き受ける
save a drowning child	おほ?れている子供を救う
split into two groups	2つのク?ルーフ?に分裂する
resort to violence	暴力に訴える
descend to the ground	地面に降りる
irritating noise	いらいらさせる騒音
pronounce the word correctly	正確にその語を発音する
cars equipped with air bags	エアハ?ック?を装備した車
Don't cheat on your taxes!	税金をこ?まかすな!
trees decorated with lights	電球て?飾られた木々
Pardon me.	こ?めんなさい
startling results	驚くような結果
forgive him for being late	彼の遅刻を許す
envy the rich	金持ちをうらやむ
chase the car	その車を追跡する
prompt him to speak	彼に話をするよう促す
withdraw my hand	手を引っ込める
how to detect lies	嘘を発見する方法
interfere with his work	彼の仕事をし?ゃまする
launch a space shuttle	スヘ?ース・シャトルを発射する
endangered animals	危機にさらされている動物たち
foster a sense of responsibility	責任感を養う
His power diminished.	彼の力は衰えた
spill coffee on the keyboard	キーホ?ート?にコーヒーをこほ?す
be infected with malaria	マラリアに感染している
heal a broken leg	折れた足を治す
stem from an ancient tradition	古い伝統に由来する
tap her on the shoulder	彼女の肩を軽くたたく
I bet you'll win.	きっと君は勝つと思う
declare independence from Britain	イキ?リスからの独立を宣言する
alter the schedule	スケシ?ュールを変更する
retire at the age of 60	60歳て?退職する
transform food into energy	食へ?物をエネルキ?ーに変える
defeat the champion	チャンヒ?オンを打ち負かす
investigate the cause of her death	彼女の死因を調査する
pretend to be asleep	眠っているふりをする
The noise annoys me.	その音か?私をいらた?たせる
deserve attention	注目に値する
bury the dead body	死体を埋める
cope with problems	問題に対処する
pour wine into the glass	コッフ?に水を注く?
score 10 goals	10点を取る
accomplish the difficult task	困難な仕事をやり遂け?る
Don't hesitate to ask questions.	質問するのをためらうな
endure great pain	ひと?い苦痛に耐える
translate a novel into English	小説を英語に翻訳する
guarantee your safety	君の安全を保証する
dominate the world economy	世界経済を支配する
confirm Darwin's theory	タ?ーウィンの理論を裏つ?ける
greet people with a smile	笑顔て?人にあいさつする
entertain guests at the party	ハ?ーティーて?客をもてなす
defend the country	国を守る
forbid him to go out	彼の外出を禁し?る
broadcast the concert live	生て?コンサートを放送する
sacrifice everything for love	愛のためすへ?てを犠牲にする
punish him for the crime	その罪て?彼を罰する
glance at the clock	時計をちらりと見る
retain the world title	世界タイトルを保持する
calculate the cost	コストを計算する
leave a sinking ship	沈む船から逃け?る
rescue a man from a fire	火事て?人を救助する
beg him to come back	彼に帰って来てと乞う
apologize to him for being late	遅れたことを彼に謝る
It is easy to deceive people.	人をた?ますのは簡単た?
generate electricity	電力を生み出す
energy to sustain life	生命を維持するためのエネルキ?ー
a body floating in the river	川に浮かふ?死体
vanish from sight	視界から消える
Memories of the war fade away.	戦争の記憶か?薄れる
regulate traffic	交通を規制する
distribute food equally	平等に食料を分配する
conceal the fact from him	彼に事実を隠す
chat with friends	友達とおしゃへ?りする
Exports exceed imports.	輸出か?輸入を超える
wipe the table	テーフ?ルをふく
cooperate with each other	おたか?いに協力する
inherit genes from our parents	親から遺伝子を受け継く?
