あえか(なり),あーAカップ、きゃしゃだ
わく,ワークを理解する
わくらばに,ワッ､暗いバニーガール､たまたまだ
わたり(辺り),渡哲也､人あたりがいい
ゐざる,ゐざルンルンにじり寄る
をかし,ヲー､樫の木だ趣がある
をし,をしりかわいい
をりふし(折節),をりふし君の場合ちょうどでOK！
ひなぶ,雛ブリブリ田舎めく
ひる,昼までに乾く
ふうが(風雅),フゥガーフゥガー､俳諧の道
ふすま(衾),ふすまふっとんだ
ふりはへ,不倫はえー､わざわざしちゃう
ふる,古田年を取る
ふるさと(古里・故郷),ふるさとの女キュートね
まうづ,まーうづうづ参る
まうでく,まー腕組んで参ります
まがふ,マンガ二つ入り乱れて見分けがつかない
まがまがし,まーガマが死んでいる､不吉だ
まこと(真・実・誠),まっこと真実は誠実でごわす
またし,股下完全だ
まだし,まだしっかりしてない
またなし,まったなし！人生はまたとない
まゐらす,｢まーいらいらする｣と申し上げる
みちみちし,道々しっこで学問的だ
みゆき(行幸・御幸),みゆきのお出掛け
みる,ミルクを世話して結婚する
むず,むずがゆいだろう
むすぶ,ムースぶっかけて手ですくう
むずらむ,むっ､ズラむりだろう
むつかる,むっ､つかると不機嫌だ
むつぶ,六つぶったら親しい仲
むつまじ,睦美とマジで親しい
むなしくなる,むなしくなると死ぬ
むべ,むっベンツ､なるほど
めり,メリーさんのようだ
もしるく,モー､汁食った通り
もぞ・もこそ,もぞもぞすると困る､もこそもこそすると大変だ
もてなす,もてないスイカをみんなにふるまう
もどかし,もー､どかしーなそれ｡気にくわんな
もどく,猛毒まねる､非難する
ものがたりす,物語すっかり話す
ものから,もう乗っからないものの
ものし,物知り野郎は気に食わない
やうやう,ヨーヨーしだいに上手になる
やくと,焼くとひたすらもっぱらぱら
やまだち(山立ち),山田ちゃんは山賊だった
やらむ・やらん,やらんだろうか
ゆふされば・ゆふさる,UFO去れば夕方になる､UFO去ると夕方になる
ゆめ～禁止,夢を決して見るな
ゆる,ゆるゆると認められる
ゆゑ(故),｢言え(ゆゑ)､理由を！｣｢言っちゃあ風情も由緒もないぞ｣
ようせずは,妖精ずっと歯を悪くすると
よし～とも,｢よし子やともに死のう｣｢ええ､仮にどうなろうとも｣
よしなしごと(由無し事),よしな仕事はつまらない
よすが(縁・因・便),よりすがる親類
よそふ,よそ服と比べてカッコつける
よばふ,よーバフバフ言い寄る
あなづらはし,あなたのヅラはしょーもない､馬鹿にしたくなる
