tear up,～を引き裂く，（契約などを）破棄する,"I <u><font color=""#FFC000"">tore</font></u> the letter <u><font color=""#FFC000"">up</font></u> in anger.<br><br><div style=""height: 140px; overflow: auto;"">tearは「引き裂く」などの意味。tear upで「ひきちぎる」「（木などを）根こそぎにする」「（契約などを）破棄する」の意味になる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
weather permitting,天候が許せば,"<u><font color=""#FFC000"">Weather permitting</font></u>, we will go for a drive tomorrow.<br><br><div style=""height: 140px; overflow: auto;"">permitには「可能にする=allow」の意味がある。同様の用いられ方として、if time permits（時間があれば）など。</div><br><br>類義語 : if the weather permits（天候が許せば=if it is fine）<br>反意語 : <br>参考 : "
find fault with,～のあら探しをする,"Stop <u><font color=""#FFC000"">finding fault with</font></u> others.<br><br><div style=""height: 140px; overflow: auto;"">faultは「欠点」という意味。人や物事に対して、口に出して非難する場合にこの表現を用いる。faultは単数形で用いる。</div><br><br>類義語 : pick holes in（～のあら探しをする）<br>反意語 : <br>参考 : "
be compelled to do,やむなく～する,"He<font color=""#FF6600""> </font><u><font color=""#FFC000"">was compelled to</font></u> resign from his post.<br><br><div style=""height: 140px; overflow: auto;"">compel O to doで「Oに無理やり～させる」の意味。これが受身の形になったもの。forceの方が一般的な語で、より強制力が強い。</div><br><br>類義語 : be forced to do（強制的に～させられる）<br>反意語 : <br>参考 : "
never ~ without doing,～すると必ず…する,"In the city, we <u><font color=""#FFC000"">never</font></u> walk a few steps <u><font color=""#FFC000"">without noticing</font></u> advertising.<br><br><div style=""height: 140px; overflow: auto;"">直訳すると「…しないで～することはない」となる。これから、「～すると必ず…する」という意味になる。後者の意味で覚えておこう。</div><br><br>類義語 : whenever（～すると必ず…）<br>反意語 : <br>参考 : "
for the sake of,～のために＜利益＞,"He had to fly off the regular course <u><font color=""#FFC000"">for the sake of</font></u> safety.<br><br><div style=""height: 140px; overflow: auto;"">sakeは名詞として「目的」などの意味があり、単純にfor O と表現するよりも意味が強くなる。for O's sakeもfor the sake of Oと同義。</div><br><br>類義語 : for the good of （～のために）<br>反意語 : <br>参考 : "
go so far as to do,～までもする，～しさえする,"I won't <u><font color=""#FFC000"">go so far as to say</font></u> that she is a fool.<br><br><div style=""height: 140px; overflow: auto;"">直訳すると、「～するほど遠くに行った」となるが、この熟語は意訳して「～しさえする」という意味である。to doの代わりにdoingが使えることも覚えておく。</div><br><br>類義語 : go as far as to do（～までもする，～しさえする）<br>反意語 : <br>参考 : go so far as doing（～までもする，～しさえする）"
no sooner A than B,Aするや否やB，AするとすぐにB,"<u><font color=""#FFC000"">No sooner</font></u> had I reached the station <u><font color=""#FFC000"">than</font></u> it began to rain.<br><br><div style=""height: 140px; overflow: auto;"">no＋比較級で劣らない。no soonerでAとBで早さに差がないという意味。よってAするや否やBとなる。またNo soonerを文頭に持ってきた倒置法がよく出てくるので覚えよう。I had no sooner arrivedはNo sooner had I arrivedとなる。</div><br><br>類義語 : hardly[scarcely] A when[before] B（Aするや否やB，AするとすぐにB）<br>反意語 : <br>参考 : "
be lacking in,～が欠けている,"His attitude <u><font color=""#FFC000"">is lacking in</font></u> warmth.<br><br><div style=""height: 140px; overflow: auto;"">lackingは形容詞で不足している、欠けている。lackedとしないように注意しよう。類義語のwantingに関しても同様のことが言える。</div><br><br>類義語 : be short of<br>反意語 : <br>参考 : "
a narrow escape,危機一髪,"They ran out quickly and had <u><font color=""#FFC000"">a narrow escape</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">narrow（かろうじての）escape（避難）から危機一髪となる。動詞はhaveがよく使われるのでhave a narrow escapeでセットで覚えておく。</div><br><br>類義語 : by the skin of one's teeth（危機一髪）<br>反意語 : <br>参考 : have a narrow escape (from death）　（危機一髪で助かる）"
be indifferent to,～に無関心だ,"They <u><font color=""#FFC000"">were indifferent to</font></u> butterflies.<br><br><div style=""height: 140px; overflow: auto;"">in（～でない）different（特別）で「無関心」となる。類義語はuninterestedにはin、unconcernedにはwithと前置詞がそれぞれ違うの注意して覚えよう。また「～と異なる」の意であるbe different fromとも前置詞が異なるので注意。</div><br><br>類義語 : be uninterested in（～に無関心だ）<br>反意語 : be interested in（～に興味がある）<br>参考 : "
be on good terms (with),～と仲の良い間柄だ,"They <u><font color=""#FFC000"">are on good terms with</font></u> their neighbors.<br><br><div style=""height: 140px; overflow: auto;"">「範囲を限る」がtermの原義。そこから「条件のあり方を限る」から「間柄」の意味になった。この際termsと複数形で用いられる。</div><br><br>類義語 : have a friendly relationship with(～と仲の良い間柄だ）<br>反意語 : be on bad terms with（～と仲の悪い間柄だ）<br>参考 : "
be convinced of,～を確信している,"I <u><font color=""#FFC000"">am convinced of</font></u> his guilt.<br><br><div style=""height: 140px; overflow: auto;"">con（強く）vince（征服する）がconvince（～を説得する）の原義。convincedと受動態にすると、「～を納得させられる」となるが、意訳して「～を確信している」という意味に。ofの代わりにthat節が使えることも覚えておく。</div><br><br>類義語 : be certain of/about（～を確信している）<br>反意語 : <br>参考 : "
in spite of oneself,われ知らず,"She went out of the room <u><font color=""#FFC000"">in spite of herself</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">「自分自身に反して」という直訳から「思わず」と訳す。in spiteの代わりにdespiteが用いられることもある。また略式ではinを省略することもある。</div><br><br>類義語 : involuntarily、absently（われ知らず）<br>反意語 : by intent、purposely（故意に）<br>参考 : "
deprive A of B,AからBを奪う,"He was <u><font color=""#FFC000"">deprived of</font></u> his civil rights.<br><br><div style=""height: 140px; overflow: auto;"">depriveの語源はde（～から）prive（奪う）。ofはoffと同じ語源で「離す」の意であることを理解しておくとよい。類義語の意味の違いだがdepriveは権力のような無形のものを奪われるときに使うのに対して、robは暴力や強盗によって財物を盗むときによく用いられる。</div><br><br>類義語 : rob A of B（AからBを奪う）<br>反意語 : give A to B（AにBを与える）<br>参考 : "
It is no wonder that,～なのは少しも不思議はない,"<u><font color=""#FFC000"">It is no wonder that</font></u> he didn’t come to the party.<br><br><div style=""height: 140px; overflow: auto;"">wonderの原義は「驚き」。そこからIt is no wonder thatで「～なのは少しも不思議ではない」となる。Thatはしばしば省略されて用いられる。</div><br><br>類義語 : No wonder（～なのは少しも不思議ではない）<br>反意語 : <br>参考 : No wonder!（なるほど！）"
have an ear for,～を聞く耳がある,"I <u><font color=""#FFC000"">have an ear for</font></u> your opinions.<br><br><div style=""height: 140px; overflow: auto;"">日本語同様に「耳を持つ→話を聞く」という意味を持つ。なお同じ表現で「音楽がわかる」という意味もあることに注意。</div><br><br>類義語 : <br>反意語 : turn a deaf ear to（～に聞く耳を持たない）<br>参考 : have an ear out for（～に聞き耳を立てる）"
make for,～の方へ向かって行く，～に役立つ,"I saw him <u><font color=""#FFC000"">making for</font></u> the church.<br><br><div style=""height: 140px; overflow: auto;"">makeは他動詞の「作る」という意味のほかに、自動詞で「～の方向へ伸びる、向かう」という意味があり、そこから派生する表現。</div><br><br>類義語 : head for（～に向かっていく）<br>反意語 : <br>参考 : make up for（～を償う）"
in pursuit of,～を追って， ～を求めて,"We came here <u><font color=""#FFC000"">in pursuit of</font></u> work.<br><br><div style=""height: 140px; overflow: auto;"">pursuitは「追求」という名詞でそこから生まれた表現。目的となる対象は、抽象的なものでも、具体的なものでもかまわない。</div><br><br>類義語 : in search of（～を求めて）<br>反意語 : <br>参考 : "
drive at,～を意図する，言おうとする,"What are you <u><font color=""#FFC000"">driving at</font></u>?<br><br><div style=""height: 140px; overflow: auto;"">名詞driveには「意図」という意味があるので、そこから考えるとわかりやすい。　なお疑問文での目的語はwhatを用いる。（what are you driving at?など）</div><br><br>類義語 : aim at（～を意図する）<br>反意語 : <br>参考 : "
between ourselves,ここだけの話だが,"<u><font color=""#FFC000"">Between ourselves</font></u> he is guilty.<br><br><div style=""height: 140px; overflow: auto;"">「私たち自身（ourselves)の間で（between)」→「内輪の話として」と考えるとわかりやすい。文頭で用いられることが多い。</div><br><br>類義語 : between you and me（ここだけの話だが）<br>反意語 : <br>参考 : confidentially（秘密の話として）"
correspond with,～と一致する，～＜人＞と文通する,"I have <u><font color=""#FFC000"">corresponded with</font></u> her for a long time.<br><br><div style=""height: 140px; overflow: auto;"">correspondは自動詞なので目的語を取るときは必ずtoかwithが必要。なお「AとBが一致する」はA and B correspondでも可。</div><br><br>類義語 : agree with(一致する）<br>反意語 : disagree with(～と一致しない）<br>参考 : "
part with,～を手放す,"He wouldn't <u><font color=""#FFC000"">part with</font></u> his car.<br><br><div style=""height: 140px; overflow: auto;"">「所有しているものを人手に渡す、売り払う」の意味。partは動詞で「分ける、分かれる」の意味があるのでそこから考えるとわかりやすい。</div><br><br>類義語 : sell off(売り払う）<br>反意語 : come by（手に入れる）<br>参考 : give up(諦める、放棄する）"
prohibit A from doing,Aが～するのを禁止する,"The rules <u><font color=""#FFC000"">prohibit</font></u> students <u><font color=""#FFC000"">from</font></u> smoking.<br><br><div style=""height: 140px; overflow: auto;"">prohibitは受身で用いることが多いが「～という団体（個人）が禁止する」というニュアンスを出すときはこの形を用いる。<br>なおprohibit A to doの形は普通使わないので注意。</div><br><br>類義語 : forbid A from doing（Aが～するのを禁止する）<br>反意語 : allow A to do（Aが～するのを許可する）<br>参考 : prohibition（禁止）"
with regard to,～に関して，～について,"<u><font color=""#FFC000"">With regard to</font></u> this there's no disagreement among us.<br><br><div style=""height: 140px; overflow: auto;"">regardは「～とみなす」という動詞で用いることが多いが、with[in] regard toの形では違う意味を持つので注意が必要な表現。</div><br><br>類義語 : as for（～に関して）<br>反意語 : <br>参考 : without regard to(～を考慮せず）"
go to extremes,極端に走る,"He lost his temper and <u><font color=""#FFC000"">went to extremes</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">extremeは「極端（な）」という意味の名詞（形容詞）であることがわかれば理解しやすい。なお通例複数形になることに注意。<br>動作や発言などについてよく使われる表現。</div><br><br>類義語 : be driven to extremes（極端に走る）<br>反意語 : <br>参考 : "
for lack of,～がないために,"The flower died <u><font color=""#FFC000"">for lack of</font></u> water.<br><br><div style=""height: 140px; overflow: auto;"">lackは十分にはないことをいう（類：shortage,want）。まったくない場合はabsence。これらに、理由を表すfor, from, throughがつく。</div><br><br>類義語 : from lack of<br>反意語 : <br>参考 : "
have a good command of,～を自在に使いこなす,"He <u><font color=""#FFC000"">has a good command of</font></u> English.<br><br><div style=""height: 140px; overflow: auto;"">commandは感情の抑制力や言葉を自由にあやつる力、状況を把握する力を意味するため、このような意味になる。at one's commandで「自由に使える=available」の意味も。</div><br><br>類義語 : have a fine command of（～を自在に使いこなす）<br>反意語 : <br>参考 : "
refrain from,～を差し控える,"I <u><font color=""#FFC000"">refrain from</font></u> commenting on it.<br><br><div style=""height: 140px; overflow: auto;"">refrain from O[doing]で「～（すること）を控える」という意味になる。Oにto doの形を用いることはない。</div><br><br>類義語 : abstain from（～を避ける）<br>反意語 : <br>参考 : "
cheer up,～を元気づける,"A word from you will <u><font color=""#FFC000"">cheer</font></u> him <u><font color=""#FFC000"">up</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">他動詞で「（人を）元気づける」の意味になるほか、自動詞としてcheer up単独で用いて「がんばれ！」の意味にもなる。</div><br><br>類義語 : encourage A（Aを励ます）<br>反意語 : <br>参考 : "
keep pace with,～に遅れずについて行く,"You should read newspapers to <u><font color=""#FFC000"">keep pace with</font></u> the times.<br><br><div style=""height: 140px; overflow: auto;"">keepには状態や動作を維持するという意味があり、この場合にはpace「速度」を維持するということから、国際情勢・人・流行・勉強などに遅れずについていくという意味になる。catch up withは「追いつく」という動作を示す。</div><br><br>類義語 : keep up with（～に遅れずについていく）<br>反意語 : <br>参考 : "
coincide with,～と一致する,"The fire <u><font color=""#FFC000"">coincided with</font></u> the earthquake.<br><br><div style=""height: 140px; overflow: auto;"">人の性質や性格、意見などが一致するという意味。物事の場合には同時に起こるという意味になり、happen togetherとほぼ同義。</div><br><br>類義語 : agree with（～と一致する）<br>反意語 : <br>参考 : "
lose one’s temper,腹を立てる,"He finally <u><font color=""#FFC000"">lost his temper</font></u> over the noise.<br><br><div style=""height: 140px; overflow: auto;"">名詞temperは「平静な気分」と「腹立ち」という２つの逆の意味をもつため、注意。ここでとりあげた表現は前者の意味だが、後者の意味で以下のような表現もある。</div><br><br>類義語 : get into a temper（かっとなる）<br>反意語 : keep one's temper（平静を保つ）<br>参考 : "
convince A of B,AにBのことを納得させる,"She tried to <u><font color=""#FFC000"">convince</font></u> me <u><font color=""#FFC000"">of</font></u> her innocence.<br><br><div style=""height: 140px; overflow: auto;"">convince O that SV で、「O（人）に～だと納得させる」という形をとることができる。受身の場合は　A is convinced of B/ A is convinced that SV. Ａがoneselfの場合には自分自身が確信することになる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
date from,～にさかのぼる，～に始まる,"His family <u><font color=""#FFC000"">dates from</font></u> the 17th century.<br><br><div style=""height: 140px; overflow: auto;"">dateは自動詞として「（物・事が）（年代・時期に）始まる」という意味をもつ。前置詞fromを伴う場合は、続いている状態を強調し、back toを伴う場合はさかのぼることを強調する。なお、originate fromは「（物・事が）（人・出来事に）始まる」という意味で、date from が時間的な起源に焦点をおくのと異なる。</div><br><br>類義語 : date back to（～にさかのぼる）<br>反意語 : <br>参考 : "
with difficulty,苦労して，かろうじて,"The overweight plane rose <u><font color=""#FFC000"">with difficulty</font></u> into the sky.<br><br><div style=""height: 140px; overflow: auto;"">対義語のwith easeはeasilyとほぼ同義だが、difficultlyという副詞はないので注意。hardlyやscarelyは十分にはないこと（否定的）に焦点があるという点で、意味が異なる。</div><br><br>類義語 : barely（かろうじて）<br>反意語 : with ease（容易に）<br>参考 : "
