"follow","〜（の後）に続く\r\n〈指示・方針など〉\r\nに従う","follow her advice\r\n彼女の助言に従う"
"draw","〜を引っぱる\r\n〈図・絵〉を\r\n（線で）描く","draw a map\r\n地図を描く"
"introduce","〜を紹介する","introduce you to my friend\r\n友人に君を紹介する"
"refuse","〈申し出など〉\r\nを断る","refuse to kiss him\r\n彼にキスするのを拒む"
"mention","〜について述べる","Never mention it again.\r\n二度とそのことを口にするな"
"judge","〜を判断する","judge a person by his looks\r\n人を外見で判断する"
"approach","（〜に）接近する\r\n〈問題など〉に取り組む\r\n［名］（研究などの）方法","A typhoon is approaching Japan.\r\n台風が日本に接近している"
"admit","〈自分に不利・\r\n不快なこと〉を認める（+that〜)","admit a mistake\r\n誤りを認める"
"reflect","〜を反映する,反射する\r\n(reflect on A)\r\nAについてよく考える","reflect the mood of the times\r\n時代の気分を反映する"
"perform","〜を行う,\r\n〜を遂行する\r\n(=carry out)","perform the work\r\n仕事を遂行する"
"bore","〈人〉をうんざりさせる","a very boring movie\r\nすごく退屈な映画"
"survive","生き残る","survive in the jungle\r\nジャングルで生き残る"
"represent","〜を表す","Words represent ideas.\r\n言葉は考えを表す。"
"argue","〜と主張する\r\n(+that〜)","argue that he is wrong\r\n彼は間違っていると主張する"
"grant","〜を認める\r\n(=admit)\r\n〜を与える","take freedom for granted\r\n自由を当然と考える"
"indicate","〜を指し示す","The data indicate that he is right.\r\nデータは彼が正しいことを示している"
"belong","所属している","He belongs to the CIA.\r\n彼はCIAに属している"
"acquire","〈言語,技術など〉\r\nを習得する","acquire a language\r\n言語を習得する"
"reply","返事をする","reply to his letter\r\n彼の手紙に返事をする"
"feed","〜にエサをやる,\r\n〜を養う","feed a large family\r\n大ぜいの家族を養う"
"escape","逃げる","escape from the problem\r\n問題から逃避する"
"replace","〜に取って代わる,\r\n〜を取り替える","replace the old system\r\n古い制度に取って代わる"
"reveal","〜を明らかにする","reveal a surprising fact\r\n驚くべき事実を明らかにする"
"surround","〜を取り囲む","Japan is surrounded by the sea.\r\n日本は海に囲まれている"
"suit","〜に合う","The job suits you.\r\nその仕事は君に合っている"
"estimate","〈数量〉を推定する","the estimated population of Japan\r\n日本の推定人口"
"aim","(aim at A)\r\nAをねらう","aim at the target\r\n標的をねらう"
"earn","〈金〉をもうける,\r\nかせぐ","earn money for the family\r\n家族のためにお金をかせぐ"
"decline","衰退する，低下する\r\n〜を辞退する","My memory began to decline.\r\n記憶力が低下し始めた"
"afford","〜をする［持つ］\r\n余裕がある","can""t afford to buy a Ford\r\nフォードの車を買う余裕がない"
"confuse","〈人〉を当惑させる","be confused by her anger\r\n彼女の怒りに当惑する"
"graduate","(graduate from A)\r\nAを卒業する","graduate from high school\r\n高校を卒業する"
"vary","変わる,\r\nさまざまである","vary from country to country\r\n国によって変わる"
"remove","〜を移す，取り去る","remove the cover\r\nカバーを取り除く"
"insist","〜と（強く）主張する,\r\n言い張る","insist on going there alone\r\n一人でそこに行くと言い張る"
"examine","〜を調査する","examine every record\r\nあらゆる記録を調べる"
"remind","(remind A of B)\r\nAにBのことを\r\n思い出させる","remind him of the promise\r\n彼に約束を思い出させる"
"contribute","(to+A)Aに貢献する;\r\nAの一因となる\r\n(+A to B)AをBに寄付する","contribute to world peace\r\n世界平和に貢献する"
"warn","〈人〉に警告する","warn him of the danger\r\n彼に危険を警告する"
"connect","〜をつなぐ","connect Honshu with Shikoku\r\n本州と四国をつなぐ"
"match","〜に匹敵する\r\n〜に調和する\r\n(=go with)","match him in power\r\n力で彼に匹敵する"
"focus","焦点を合わせる","focus on the topic\r\nその話題に焦点を合わせる"
"reject","〈提案など〉を断る","reject the proposal\r\n提案を拒否する"
"convince","〈人〉を納得させる,\r\n確信させる","convince him of our success\r\n彼に成功を確信させる"
"associate","(associate A with B)\r\nAをBに関連づける,\r\nAからBを連想する","Red is associated with danger.\r\n赤は危険と結びつけられる"
"rush","急いで行く","rush into the hospital\r\n病院へ急いで行く"
"stress","〜を強調する","stress the need for information\r\n情報の必要性を強調する"
"attract","〈人・注意〉\r\nを引きつける","attract his attention\r\n彼の注意を引きつける"
"rely ","(rely on［upon］A)\r\nAに頼る","rely on their power\r\n彼らの力に頼る"
"respond","(respond to A)\r\nAに返答する","respond to questions\r\n質問に答える"
"threaten","〜を脅迫する","threaten to kill the girl\r\nその娘を殺すと脅迫する"
"adopt","〈理論・技術など〉\r\nを採用する","adopt a new system\r\n新しいシステムを採用する"
"shake","〜を振る","shake the bottle well\r\nビンをよく振る"
"hurt","〜を傷つける","hurt her feelings\r\n彼女の気持を傷つける"
"operate","〈機械などが〉作動する\r\n〈機械など〉を操作する\r\n手術する(+on)","operate a computer with a mouse\r\nマウスでコンピュータを操作する"
"extend","〜を広げる，延長する","extend my stay for two days\r\n滞在を二日延長する"
"blame","〜を非難する,\r\n〜のせいにする","blame others for the failure\r\n失敗を他人のせいにする"
"consist","(consist of A)\r\nAで構成されている","The book consists of six lessons.\r\nその本は6課で構成されている。"
"persuade","〜を説得する","persuade them to go back\r\n彼らを説得して帰らせる"
"admire","〜に感心する","admire her English ability\r\n彼女の英語力に感服する"
"disappoint","〜を失望させる","be disappointed with the test results\r\n試験の結果に失望する"
"expand","（〜を）拡大する","expand the market\r\n市場を拡大する"
"preserve","〜を保護する,\r\n〜を保つ","preserve forests\r\n森林を保護する"
"struggle","苦闘する，もがく","struggle to get free\r\n自由になろうともがく"
"arrange","〈会合など〉の\r\n手はずを整える\r\n〜を配列する\r\n","arrange the meeting\r\n会議の手はずを整える"
"disturb","〈人・仕事など〉\r\nをさまたげる\r\n(=interrupt)","disturb his sleep\r\n彼の睡眠を妨げる"
"employ","〜を雇う\r\n〈方法・言葉など〉\r\nを用いる(=use)","employ her as a typist\r\nタイピストとして彼女を雇う"
"engage","(engage in A)\r\nA（仕事・活動など）\r\nに従事する,\r\nAを行う","engage in volunteer activities\r\nボランティア活動に従事する"
"abandon","〜を捨てる","an abandoned child\r\n捨てられた子供"
"display","〜を展示する;\r\n〜を表す","display a talent\r\n才能を誇示する"
"encounter","〜に偶然出会う","encounter many difficulties\r\n数々の困難に出会う"
"exhaust","〈人〉を疲れはてさせる","be too exhausted to speak\r\n口もきけないほど疲れはてている"
"bother","〈人〉に面倒をかける,\r\n困らせる\r\n（〜を）気にする","I don""t want to bother you.\r\nあなたを困らせたくない"
"concentrate","集中する","concentrate on what he is saying\r\n彼の話に集中する"
"adapt","〜を適応させる,\r\n適応する","adapt to the change\r\n変化に適応する"
"puzzle","〜を当惑させる\r\n(=confuse)","be puzzled by the problem\r\nその問題に頭を悩ませる"
"appeal","(appeal to A)\r\nA〈理性・感情など〉に訴える\r\n〈人〉を引きつける\r\n［名］魅力","appeal to feelings\r\n感情に訴える"
"combine","〜を結合させる","combine music and drama\r\n音楽と演劇を結合させる"
"delay","〜を遅らせる","delay his arrival\r\n彼の到着を遅らせる"
"repair","〜を修理する","repair the car\r\n車を修理する"
"fascinate","〈人〉を夢中にさせる","a fascinating voice\r\n魅力的な声"
"devote","〜をささげる","He devoted himself to his work.\r\n彼は仕事に身をささげた。"
"import","〜を輸入する","cars imported from America\r\nアメリカから輸入された車"
"remark","（〜と）述べる","remark that he is kind\r\n彼は親切だと述べる"
"reserve","〜を予約する,\r\n〜を取っておく\r\n(=set aside)","reserve a room at a hotel\r\nホテルの部屋を予約する"
"amaze","〜を驚嘆させる","amazing speed\r\n驚異的な速さ"
"frighten","〈人〉をおびえさせる","be frightened of death\r\n死を恐れる"
"release","〜を解放する\r\n〜を発表する","release him from work\r\n仕事から彼を解放する"
"rent","〈家・車など〉\r\nを賃借りする","rent an apartment\r\nアパートを借りる"
"recover","(recover from A)\r\nA（病気など）から\r\n回復する","recover from illness\r\n病気から回復する"
"suspect","〜ではないかと思う\r\n(=suppose)\r\n〈人・もの〉を疑う","suspect him of being a spy\r\n彼をスパイではないかと疑う"
"deliver","〜を配達する，渡す\r\n〈講義など〉をする","deliver a message to a friend\r\n友達に伝言を渡す"
"identify","〜の正体をつきとめる,\r\n(identify with A)\r\nAと共感する","identify the body\r\n死体の身元を確認する"
"locate","（be located in\r\n［on,at］A)\r\n（Aに）位置する","The office is located in the area.\r\nオフィスはその地域にある"
"manufacture","〜を製造する","a car manufacturing company\r\n車を製造する会社"
"occupy","〈場所・地位など〉\r\nを占める","occupy a good position\r\nよい地位を占める"
"own","〜を所有している","own five cars\r\n5台の車を所有している"
"expose","（expose A to B)\r\nAをBにさらす","expose the skin to sunlight\r\n日光に肌をさらす"
"conclude","〜と結論づける","conclude that he was killed\r\n彼は殺されたという結論を下す"
"cure","〜を治療する","cure him of his cold\r\n彼のカゼを治す"
"perceive","〜を知覚する","perceive danger\r\n危険に気づく"
"ban","（公式に）\r\n〜を禁止する","freeze to death\r\n凍えて死ぬ"
"alarm","〜をぎょっとさせる,\r\nおびえさせる(=scare)","The noise alarms the dog.\r\nその音が犬をおびえさせる。"
"derive","由来する\r\n","This word derives from Latin.\r\nこの語はラテン語に由来する。"
"neglect","〜を無視する，怠る\r\n〈子供など〉の\r\n世話をしない","neglect human rights\r\n人権を無視する"
"adjust","〈環境に〉慣れる\r\n（=adapt),\r\n調節して合わせる","adjust to a new school\r\n新しい学校に慣れる"
"shift","〜を変える","shift gears\r\nギアを変える"
"embarrass","〜を困惑させる,\r\n〜に恥ずかしい\r\n思いをさせる","be embarrassed about the mistake\r\nその間違いが恥ずかしい"
"approve","〜を承認する","approve of their marriage\r\n二人の結婚を承認する"
"commit","〈罪など〉を犯す","commit a serious error\r\n重大な誤りを犯す"
"stretch","〜を広げる","stretch my legs\r\n足を広げる"
"participate","(participate in A)\r\nAに参加する","participate in the meeting\r\nその会議に参加する"
"impose","(impose A on B)\r\nAをBに課す,\r\n押しつける","impose rules on students\r\n学生に規則を押しつける"
"owe","(owe A to B)\r\nAことはBのおかげだ","I owe my success to you.\r\n私の成功は、あなたのおかげだ。"
"celebrate","〈特定の日・できごと〉\r\nを祝う","celebrate his birthday\r\n彼の誕生日を祝う"
"emerge","〈隠れていたものが〉\r\n現れる(=appear)","A new problem has emerged.\r\n新たな問題が出現した"
"urge","〜に強く迫る,\r\n〜を説得する","urge him to stop smoking\r\n禁煙するよう彼を説得する"
"seat","(be seated)\r\n座っている","be seated on the bench\r\nベンチで座っている"
"injure","〜を傷つける","be injured in the accident\r\nその事故で負傷する"
"imply","〜を（暗に）\r\n意味する","What does her smile imply?\r\n彼女の微笑は何を意味するのか。"
"explain","〜を説明する","`explain` the answer to students\r\n学生に答を説明する"
"accept","〜を受け入れる","accept the truth as it is\r\nありのまま事実を受け入れる"
"produce","〜を生産する\r\n〜を作る","produce a new car model\r\n新型車を生産する"
"exist","存在する","Does God really exist?\r\n神は本当に存在するのか。"
"occur","起こる(=happen)","This problem often occurs.\r\nこの問題はしばしば起こる"
"express","〜を表現する\r\n［名］急行","express my true feelings\r\n本当の気持ちを表現する"
"add","(add A to B)\r\nBにAを加える\r\n〈言葉を〉付け加える","add some milk to the soup\r\nスープにミルクを加える"
"avoid","〜を避ける","avoid meeting people\r\n人に会うのを避ける"
"marry","〜と結婚する","marry Mary\r\nメアリと結婚する"
"protect","(protect A from B)\r\nBからAを守る","protect children from danger\r\n危険から子供たちを守る"
"affect","〜に影響する\r\n(=influence)","Alcohol affects the brain.\r\nアルコールは脳に影響する。"
"determine","〜を決定する\r\n決心する\r\n(=decide)","determine your future\r\n君の未来を決定する"
"solve","〜を解決する","solve the problem\r\n問題を解決する"
"contain","〜を含んでいる\r\n〈SにO〉が入っている","This book contains 2000 words.\r\nこの本には2000の単語が入っている."
"discuss","〜を議論する\r\n(=talk about)","discuss the problem with him\r\n彼とその問題を議論する"
"ignore","〜を無視する","ignore the doctor""s advice\r\n医者の忠告を無視する"
"guess","〜を推測する\r\n〜と考える\r\n(=suppose)","guess how old she is\r\n彼女の年を推測する"
"exchange","(exchange A for B)\r\nAをBに交換する","exchange yen for dollars\r\n円をドルに交換する"
"satisfy","〜を満たす\r\n〜を満足させる","satisfy the needs of students\r\n学生の要求を満たす"
"complain","(complain about A)\r\nAのことで苦情を言う","complain about the noise\r\n騒音のことで苦情を言う"
"achieve","〜を達成する","finally achieve the goal\r\nついに目標を達成する"
"enable","（A enable B to do)\r\nAのおかげで\r\nBは〜できる","Cars enable us to move freely.\r\n車は自由な移動を可能にする"
"intend","(intend to V)\r\n〜するつもりだ\r\n〜を意図する","intend to live in America\r\nアメリカに住むつもりだ"
"obtain","〜を得る","obtain information about him\r\n彼に関する情報を得る"
"divide","(divide A into B)\r\nAをBに分類する","divide the cake into six pieces\r\nケーキを6個に分割する"
"distinguish","(distinguish A from B)\r\nAとBを区別する\r\n(=distinguish between\r\nA and B)","distinguish a lie from the truth\r\nうそと真実を見分ける"
"differ","(differ from A)\r\nAと異なる","My opinion differs from hers.\r\n私の考えは彼女と異なる"
"educate","〜を教育する","how to educate children\r\n子供を教育する方法"
"borrow","(borrow A from B)\r\nBからAを借りる","borrow a book from a friend\r\n友だちから本を借りる"
"invent","〜を発明する\r\n〜を作り出す\r\n(=make up)","invent a time machine\r\nタイムマシーンを発明する"
"promote","〜を促進する","promote economic growth\r\n経済成長を促進する"
"advise","(advise A to V)\r\nAに〜するように忠告する\r\n〜に助言する","advise him to stop drinking\r\n酒をやめるよう彼に忠告する"
"arise","(A arise from B)\r\nBからAが生じる","Problems arise from carelessness.\r\n不注意から問題が生じる"
"permit","(permit A to V)\r\nAに〜することを許す\r\n(=allow A to V)","permit him to go out\r\n彼に外出することを許す"
"recommend","(recommend A to B)\r\nAをBに勧める","recommend this book to you\r\nあなたにこの本を推薦する"
"define","(define A as B)\r\nAをBと定義する","define a day as twenty-four hours\r\n1日を24時間と定義する"
"inform","(inform A of\r\n［about］B)\r\nAにBを知らせる","inform him of his son""s success\r\n息子の成功を彼に知らせる"
"oppose","〜に反対する","oppose their marriage\r\n彼らの結婚に反対する"
"trust","〜を信用する","trust an old friend\r\n古い友達を信用する"
"select","〜を選ぶ","select the best answer\r\n最良の答を選ぶ"
"praise","(praise A for B)\r\nBのことでAをほめる\r\n［名］ほめること，賞賛","praise him for his work\r\n仕事のことで彼をほめる"
"handle","〜に対処する\r\n〜にさわる\r\n［名］取っ手","how to handle problems\r\nどう問題に対処すべきか"
"propose","〜を提案する","propose a new way\r\n新しいやり方を提案する"
"breathe","〜を呼吸する","breathe fresh air\r\n新鮮な空気を呼吸する"
"criticize","(criticize A for B)\r\nBのことでAを非難する\r\n〜を批判する","criticize him for being late\r\n遅刻したことで彼を非難する"
"overcome","〜に打ち勝つ\r\n〜を克服する","overcome the fear of death\r\n死の恐怖に打ち勝つ"
"possess","〜を持っている\r\n(=have，own)","possess great power\r\n大きな力を持っている"
"predict","〜を予言する\r\n〜を予測する","predict the future\r\n未来を予言する"
"publish","〜を出版する\r\n〜を発表する","publish a book\r\n本を出版する"
"purchase","〜を買う\r\n(=buy)","purchase a new car\r\n新しい車を買う"
"recall","〜を思い出す\r\n(=remember)","recall the good old days\r\n古き良き時代を思い出す"
"explore","〜を探検する\r\n〜を探求する","explore the Amazon River\r\nアマゾン川をを探検する"
"stare","(stare at A)\r\nAをじっと見る","stop and stare at her\r\n立ち止まって彼女をじっと見る"
"absorb","〜を吸収する","absorb a lot of water\r\n大量の水を吸収する"
"resemble","〜に似ている","He resembles his father.\r\n彼は父親に似ている。"
"tear","〜を引き裂く","tear the letter to pieces\r\nずたずたに手紙を引き裂く"
"consume","〜を消費する","consume a lot of energy\r\n多量のエネルギーを消費する"
"compete","(compete with A for B)\r\nBを求めてAと競争する\r\n匹敵する","compete with him for a gold medal\r\n金メダルをめざして彼と競争する"
"quit","〜をやめる\r\n(=give up，stop)","quit school\r\n学校をやめる(=stop)"
"announce","〜を発表する\r\n〜を知らせる","announce a new plan\r\n新しい計画を発表する"
"react","(react to A)\r\nAに反応する\r\n反発する","react quickly to light\r\n光に素早く反応する"
"wander","歩き回る\r\nぶらつく","wander around the streets\r\n街を歩き回る"
"emphasize","〜を強調する","emphasize the difference\r\n違いを強調する"
"generate","〜を生み出す","convey a message on the Internet\r\nインターネットでメッセージを伝える"
"result","結果","the result of the test\r\nテストの結果"
"experience","経験,体験","the near-death experience\r\n臨死体験"
"society","社会","the problems of modern society\r\n現代社会の問題"
"trouble","悩み,苦労","have trouble finding a job\r\n仕事を見つけるのに苦労する"
"value","価値","put a high value on education\r\n教育に高い価値をおく"
"effect","効果，影響(=influence)\r\n結果(=result)","the greenhouse effect of CO2\r\nCO2の温室効果"
"individual","個人","individuals in society\r\n社会の中の個人"
"influence","影響（力）","have a bad influence on children.\r\n子供に悪い影響を与える"
"context","文脈\r\n(文化・社会的な)状況","the meaning in this context\r\nこの文脈における意味"
"rate","割合，速度\r\n［動］〜を評価する","at the rate of 40% a year\r\n年40%の割合で"
"sign","印，兆候\r\n","a sign of spring\r\n春のきざし"
"service","公共事業\r\n業務","water and gas service\r\n水道とガスの公共事業"
"advance","前進，進歩","advances in science\r\n科学の進歩"
"officer"," 役人","a police officer\r\n警察官"
"material","物質","produce new materials\r\n新しい物質を作る"
"industry","工業","a center of heavy industry\r\n重工業の中心地"
"attempt"," 試み","an attempt to break the record\r\n記録を破ろうとする試み"
"trade","貿易","US trade with France\r\n合衆国のフランスとの貿易"
"progress","進歩，前進","make progress toward peace\r\n平和に向けて前進する"
"excuse","言い訳","make an excuse to leave early\r\n早く帰るための言い訳をする"
"custom","（社会的な）習慣\r\n(customs)税関","the custom of tipping\r\nチップを払う習慣"
"passage","一節\r\n（時の）経過\r\n通行","Read the following passage.\r\n次の一節を読みなさい"
"economy","経済","the market economy\r\n市場経済"
"range","範囲","a wide range of information\r\n広範囲の情報"
"traffic","交通（量）","a traffic accident\r\n交通事故"
"official","役人","a government official\r\n政府の役人"
"sight","見ること\r\n光景\r\n視力","love at first sight\r\n一目ぼれ"
"taste","味\r\n好み","a taste of lemon\r\nレモンの味"
"immigrant","（外国からの）移民","immigrants from Mexico\r\nメキシコからの移民"
"neighbor","近所の人","Love your neighbor as yourself.\r\n自分を愛するように隣人を愛せ"
"patient","患者\r\n[形]忍耐強い","a doctor and a patient\r\n医者と患者"
"project","計画","a business project\r\n事業計画"
"favor","好意","Would you do me a favor?\r\n頼みをきいてもらえませんか"
"appearance","外見，様子\r\n出現","differ in appearance\r\n外見が違う"
"risk","危険","run the risk of death\r\n死の危険をおかす"
"benefit","利益","costs and benefits of the business\r\n仕事のコストと利益"
"feature","特徴","features of human language\r\n人類の言語の特徴"
"relative","親族，親せき\r\n[形]相対的な","their relatives and friends\r\n彼らの親せきと友達"
"region","地域","a mountain region\r\n山岳地方"
"characteristic","特徴","unique characteristics\r\nユニークな特徴"
"pain","苦痛","feel a sharp pain\r\n鋭い痛みを感じる"
"kid","子供\r\n[動]〜をからかう","a family with two kids\r\n二人の子供がいる一家"
"occasion","場合","on special occasions\r\n特別な場合に"
"principle","原理，原則","the principle of free trade\r\n自由貿易の原則"
"department","（組織の）部門\r\n（大学などの）学科","the history department\r\n歴史学科"
"duty","義務\r\n関税","It is my duty to help you.\r\n君を助けるのが私の義務だ"
"scene","場面，現場","the scene of the accident\r\n事故の現場"
"basis","基礎，根拠\r\n方式，やり方\r\n(=way,manner)","a scientific basis of his theory\r\n彼の理論の科学的根拠"
"spirit","精神","the spirit of fair play\r\nフェアプレイの精神"
"medium","手段","the medium of communication\r\nコミュニケーションの手段"
"mass","(the masses)一般大衆\r\n(a mass of A)多くのA","mass production\r\n大量生産"
"audience","（集合的に）聴衆，観客","gather a large audience\r\n大勢の観客を集める"
"element","要素(=factor)\r\n元素","the most important element\r\n最も重要な要素"
"climate","気候","a warm climate\r\n温暖な気候"
"revolution","革命","the French revolution\r\nフランス革命"
"quarter","4分の1","the first quarter of this century\r\n今世紀の最初の4分の1"
"conflict","（意見・利害の）対立","a conflict between two countries\r\n二国間の対立"
"flood","洪水","a flood of cars\r\n車の洪水"
"atmosphere","大気\r\n雰囲気","CO2 in the atmosphere\r\n大気中の二酸化炭素"
"property","財産","private property\r\n私有財産"
"reward","報酬","a reward for hard work\r\n努力の報酬"
"security"," 安全","national security\r\n国家の安全保障"
"delight","大喜び","give a cry of delight\r\n喜びの声をあげる"
"desert","砂漠\r\n［動］〜を放棄する,\r\n見捨てる","desert a friend in the desert\r\n砂漠で友人を見捨てる"
"background","背景\r\n生い立ち，経歴","people from different backgrounds\r\n経歴の違う人々"
"trend","傾向","a trend toward fewer children\r\n少子化の傾向"
"grade","（小中高通じての）学年\r\n（grades）成績","I am in the seventh grade.\r\n私は7年生(=中1)です。"
"impact","影響\r\n衝撃","the impact of TV on children\r\n子供に対するテレビの影響"
"institution","機関\r\n制度","government institutions\r\n政府の諸機関"
"interaction","〈人と人の〉交流","interaction between teachers and students\r\n先生と生徒の交流"
"alternative","代わりのもの","an alternative to sugar\r\n砂糖の代わりになるもの"
"harm","害","do no harm to children\r\n子供に害をあたえない"
"agency","（政治的）機関\r\n代理店","go to a travel agency\r\n旅行代理店に行く"
"capacity","能力(+to V，for)","man""s great capacity to learn\r\nすばらしい人間の学習能力"
"minister","大臣","the Italian foreign minister\r\nイタリアの外務大臣"
"volunteer","ボランティア","a hospital volunteer\r\n病院で働くボランティア"
"access","利用する権利","have access to the Internet\r\nインターネットを利用できる"
"quantity","量","large quantities of data\r\nぼう大な量のデータ"
"branch","枝\r\n支店，支局\r\n（学問の）部門，分野","a branch of science\r\n科学の一分野"
"laughter","笑い","spontaneous laughter\r\n自然に起こる笑い"
"transport","交通機関，輸送","air transport\r\n航空輸送"
"vote","投票","get 20% of the vote\r\n20%の票を得る"
"resident","住民","residents of New York\r\nニューヨークの住民"
"square","正方形\r\n（面積の単位）平方","20 square miles\r\n20平方マイル"
"situation","状況\r\n事態，立場","in a hopeless situation\r\n希望のない状況で"
"government","政府\r\n政治","the Japanese government\r\n日本政府"
"knowledge","知識","have little knowledge of English\r\n英語の知識がほとんどない"
"nation","国\r\n国家；国民","the Asian nations\r\nアジアの諸国"
"effort","努力","make every effort to help him\r\n彼を助けようと努力する"
"period","時代\r\n期間","the cold war period\r\n冷戦時代"
"population","人口\r\n住民，\r\n(動物の)個体数","population growth\r\n人口の増加"
"purpose","目的(=object)","for peaceful purposes\r\n平和的な目的で"
"behavior","行動","study animal behavior\r\n動物の行動を研究する"
"lack","不足\r\n[動］〜を欠いている","lack of food\r\n食糧不足"
"skill","技術","learn basic skills\r\n基本的な技術を学ぶ"
"quality","質\r\n性質\r\n［形］良質の","the sound quality of the CD\r\nCDの音質"
"environment","環境","the natural environment\r\n自然環境"
"role","役割(=part)","play an important role\r\n重要な役割を果たす"
"attitude","態度\r\n考え方，姿勢","a friendly attitude toward Japanese\r\n日本人に対する友好的な態度"
"author","筆者，著者(=writer)","the author of the best seller\r\nベストセラーの著者"
"research","研究，調査\r\n［動］(〜を)研究\r\n［調査］する","scientific research\r\n科学的な研究"
"opportunity","機会","an opportunity to talk to her\r\n彼女と話す機会"
